id,x,y,z
1,433312.33,2803300.54,15.97
2,462138.95,2794999.53,12.58
3,421721.53,2800270.03,14.27
4,421709.77,2800290.66,12.4
5,421743.83,2800241.61,15.23
6,421734.34,2800256.19,14.17
7,421693.57,2800328.21,12.55
8,421756.3,2800229.46,13.99
9,421707.76,2800311.82,12.73
10,421689.44,2800345.18,12.73
11,421787.4,2800194.4,12.26
12,421770.34,2800219.74,15.08
13,421724.98,2800303.65,15.18
14,421748.62,2800268.39,15.51
15,421806.51,2800179.19,13.42
16,421764.58,2800255.18,15.64
17,421741.68,2800295.13,14.92
18,421705.49,2800358.36,12.21
19,421694.45,2800373.59,12.42
20,421789.2,2800218.32,16.47
21,421715.93,2800343.79,13.45
22,421805.07,2800201.24,15.68
23,421738.55,2800316.48,14.38
24,421824.74,2800170.73,14.83
25,421712.78,2800376.08,10.99
26,421702.52,2800390.3,10.07
27,421839.92,2800161.72,13.73
28,421823.39,2800188.24,15.27
29,421806.34,2800221.55,16.04
30,421796.16,2800236.99,16.18
31,421786.1,2800254.12,16.6
32,421726.4,2800359.22,12.36
33,421781.09,2800274.17,15.82
34,421770.62,2800289.99,14.96
35,421758.58,2800308.77,14.05
36,421743.08,2800337.74,13.31
37,421841.06,2800178.75,15.73
38,421823.24,2800205.57,15.43
39,421862.86,2800147.68,12.88
40,421747.47,2800354.73,11.52
41,421727.76,2800386.31,9.88
42,421717.61,2800400.55,8.65
43,421856.98,2800170.83,15.52
44,421801.53,2800270.44,15.08
45,421777.91,2800305.77,13.38
46,421769.09,2800322.53,12.53
47,421761.11,2800339.48,12.01
48,421738.88,2800372.96,10.1
49,421848.45,2800194.09,16.1
50,421837.47,2800216.06,16.4
51,421824.33,2800235.17,16.08
52,421793.77,2800286.29,14.3
53,421819.53,2800257.27,15.24
54,421891.67,2800139.6,14.83
55,421883.34,2800154.75,15.55
56,421866.04,2800187.38,16.43
57,421796.73,2800307.26,12.59
58,421758,2800374.17,8.62
59,421745.9,2800394.19,7.99
60,421879.96,2800173.24,16.12
61,421834.75,2800248.69,14.79
62,421812.41,2800289.64,13.35
63,421783.64,2800334.26,10.87
64,421771.04,2800357.39,10.37
65,421857.14,2800219.24,16.81
66,421845.66,2800235.45,15.63
67,421869.47,2800205.88,16.52
68,421830.74,2800272.02,13.98
69,421911.9,2800145.39,15.94
70,421927.05,2800129.24,15.36
71,421900.76,2800171.23,16.23
72,421847.11,2800263.18,12.58
73,421893.27,2800192.84,16.31
74,421873.47,2800226.54,15.35
75,421863.05,2800246,13.58
76,421891.96,2800215.43,15.73
77,421925.01,2800174.68,16.08
78,421909.94,2800200.94,15.69
79,421887.61,2800236.6,13.1
80,421953.55,2800129.82,14.96
81,421936.83,2800160.93,16.34
82,421908.62,2800219.72,13
83,421952.02,2800150.3,15.23
84,421981.85,2800122.86,15.38
85,421937.84,2800193.88,15.41
86,421930.3,2800209.62,13.54
87,421951.1,2800179.95,15.62
88,421978.28,2800142.16,15.02
89,422002.25,2800110.52,14.55
90,421969.2,2800170.4,15.26
91,421967.09,2800189.84,14.75
92,421955.79,2800203.84,13.8
93,422020.72,2800104.68,14.42
94,422007.01,2800130.52,15.39
95,421986.74,2800157.7,15.64
96,422005.73,2800147.96,15.48
97,421991.86,2800174.09,15
98,422042.7,2800095.76,15.52
99,422026.77,2800124.49,15.39
100,421981.91,2800198.84,14.01
101,422011.66,2800163.94,15.11
102,422070.11,2800084.72,15.1
103,422047.56,2800123.42,15.23
104,422030.69,2800156.02,14.93
105,422008.3,2800190.26,12.87
106,422071.86,2800102.52,15.42
107,422065.4,2800122.79,14.74
108,422051.69,2800149.13,14.74
109,422029.99,2800186.96,13.27
110,422095.7,2800076.16,14.09
111,422040.91,2800173.33,14.5
112,422090.55,2800106.53,14.96
113,422121.71,2800067.38,13.83
114,422084.15,2800133.09,14.48
115,422073.87,2800149.78,15.13
116,422061.67,2800174.18,13.44
117,422113.35,2800092.28,15.02
118,422138.29,2800060.86,12.42
119,422104.49,2800119.98,15.34
120,422128.29,2800083.1,14.29
121,422095.4,2800147.21,15.32
122,422082.17,2800164.69,14.12
123,422124.01,2800105.86,15.44
124,422159.35,2800064.57,15.94
125,422142.54,2800093.79,15.1
126,422120.85,2800128.16,14.27
127,422101.24,2800163.51,13.26
128,422171.81,2800048.86,12.98
129,422114.09,2800146.87,13.85
130,422158.06,2800082.14,14.53
131,422141.81,2800120,14.55
132,422196.34,2800037.11,13.99
133,422131.27,2800149.18,14.45
134,422184.22,2800065.18,13.41
135,422175.77,2800080.71,14.84
136,422156.89,2800111.77,14.09
137,422149.5,2800137.44,13.74
138,422223.86,2800021.15,14.17
139,422211.04,2800046.83,15.24
140,422204.68,2800063.56,15.94
141,422196.92,2800078.75,14.46
142,422164.93,2800130.16,15.33
143,422178.43,2800113.92,14.48
144,422246.68,2800019.24,13.67
145,422198.55,2800098.84,14.23
146,422182.89,2800130.74,13.67
147,422239.46,2800038.4,14.83
148,422228.16,2800058.99,16.22
149,422219.78,2800076.63,15.28
150,422200.88,2800122.28,14.68
151,422269.17,2800002.9,14.98
152,422220.14,2800094.19,14.72
153,422261.26,2800031.7,13.91
154,422251.85,2800057.1,15.26
155,422239.05,2800082.11,14.32
156,422291.88,2799999.2,13.33
157,422222.76,2800118.63,13.92
158,422305.58,2799987.2,13.51
159,422281.42,2800028.87,13.59
160,422270.51,2800047.49,14.04
161,422240.46,2800106,13.3
162,422295.74,2800016.98,14.22
163,422265.16,2800071.84,13.53
164,422309.52,2800004.89,13.95
165,422338.06,2799971.3,12.14
166,422265.2,2800094.32,13.48
167,422309.34,2800028.38,13.76
168,422298.25,2800045.62,14.34
169,422324.14,2800013.83,13.58
170,422290.26,2800067.94,14.53
171,422355.46,2799965.28,11.94
172,422336.21,2799999.75,15.36
173,422315.59,2800044.45,13.61
174,422292.05,2800085.9,12.7
175,422373.92,2799958.51,14.19
176,422351.34,2799990.26,14.52
177,422308.41,2800073.32,13.14
178,422374.26,2799976.76,13.64
179,422356.55,2800006.65,14.03
180,422347.41,2800022.43,14.63
181,422336.92,2800041.25,14.24
182,422322.46,2800061.35,13.2
183,422395.22,2799948.2,12.36
184,422374.2,2799996.74,13.43
185,422411.82,2799941.13,14.5
186,422391.74,2799968.88,14.9
187,422355.68,2800037.41,13.5
188,422368.23,2800025.79,14.14
189,422380.97,2800012.93,14.32
190,422353.63,2800056.12,13
191,422401.9,2799985.46,15.91
192,422440.05,2799933,14.11
193,422427.54,2799951.44,15.64
